food_id,name,fdc_id,source_database,source_dataset,source_data_type,source_food_name,publication_date,download_date,match_status,imputed_fields,gi_value,gi_status,notes
U011,Salmon,172000,USDA FoodData Central,sr_legacy,sr_legacy_food,"Fish, salmon, chum, cooked, dry heat",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,0,non_carbohydrate_food_proxy,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U012,Tofu,172461,USDA FoodData Central,sr_legacy,sr_legacy_food,"MORI-NU, Tofu, silken, firm",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,15,category_proxy_legume_soy,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U013,Lentils cooked,175254,USDA FoodData Central,sr_legacy,sr_legacy_food,"Lentils, mature seeds, cooked, boiled, with salt",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,32,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U014,Canned soup,2707127,USDA FoodData Central,survey,survey_fndds_food,"Soup, beef, canned",2022-10-28,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,60,category_proxy_composite_processed,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U015,Low-fat yogurt,170886,USDA FoodData Central,sr_legacy,sr_legacy_food,"Yogurt, plain, low fat",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,35,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U016,Quinoa cooked,168917,USDA FoodData Central,sr_legacy,sr_legacy_food,"Quinoa, cooked",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,53,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U017,Whole wheat pasta,168916,USDA FoodData Central,sr_legacy,sr_legacy_food,"Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, cooked",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,48,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U018,Corn,168540,USDA FoodData Central,sr_legacy,sr_legacy_food,"Corn, sweet, white, cooked, boiled, drained, with salt",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,52,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U019,Potato baked,170112,USDA FoodData Central,sr_legacy,sr_legacy_food,"Potatoes, baked, flesh, with salt",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,85,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U020,Sweet potato baked,168483,USDA FoodData Central,sr_legacy,sr_legacy_food,"Sweet potato, cooked, baked in skin, flesh, without salt",2019-04-01,2026-05-26,manual_override_candidate,added_sugar_g,61,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
